year,month,locations_AG_count,locations_AI_count,locations_AR_count,locations_BE_count,locations_BL_count,locations_BS_count,locations_CH_count,locations_FR_count,locations_GE_count,locations_GL_count,locations_GR_count,locations_JU_count,locations_LU_count,locations_NE_count,locations_NW_count,locations_OW_count,locations_SG_count,locations_SH_count,locations_SO_count,locations_SZ_count,locations_TG_count,locations_TI_count,locations_UR_count,locations_VD_count,locations_VS_count,locations_ZG_count,locations_ZH_count,stations_AG_count,stations_AI_count,stations_AR_count,stations_BE_count,stations_BL_count,stations_BS_count,stations_CH_count,stations_FR_count,stations_GE_count,stations_GL_count,stations_GR_count,stations_JU_count,stations_LU_count,stations_NE_count,stations_NW_count,stations_OW_count,stations_SG_count,stations_SH_count,stations_SO_count,stations_SZ_count,stations_TG_count,stations_TI_count,stations_UR_count,stations_VD_count,stations_VS_count,stations_ZG_count,stations_ZH_count
2020,11,169,9,18,269,48,29,2484,79,83,27,166,17,133,64,20,11,173,25,83,47,60,173,10,244,169,100,258,362,13,25,502,123,62,5095,187,265,54,336,29,226,115,38,16,338,52,196,86,109,371,32,484,332,122,620
2020,12,171,9,19,282,52,29,2542,78,85,28,168,19,128,65,20,11,173,25,86,47,63,180,10,250,179,102,263,368,13,26,535,129,62,5250,187,270,55,339,33,223,117,38,16,339,53,202,85,113,396,32,513,348,124,634
2021,1,179,9,21,299,56,31,2640,80,85,30,170,21,130,66,20,11,179,25,89,47,62,186,10,253,186,115,280,393,13,28,567,136,66,5507,191,270,58,347,36,233,119,38,16,355,54,209,90,113,426,32,537,370,141,669
2021,2,196,9,23,309,61,32,2744,81,85,31,171,22,133,66,20,11,178,27,90,54,61,187,10,260,193,146,288,435,13,30,587,149,68,5713,195,274,60,347,38,241,121,38,16,352,60,212,100,111,431,32,549,382,174,698
2021,3,204,9,24,315,67,33,2801,83,86,31,180,22,136,67,20,11,176,25,92,56,59,189,10,267,199,144,296,446,13,31,591,167,69,5825,198,282,60,375,38,245,122,38,16,345,58,216,102,108,435,32,554,391,172,721
2021,4,214,9,26,325,71,34,2842,88,88,31,176,23,141,67,20,12,188,28,90,57,64,189,10,267,196,129,299,461,12,33,610,178,70,5946,207,292,59,367,39,254,122,38,16,371,61,214,103,120,436,32,574,381,161,735
2021,5,219,9,26,337,70,36,2887,89,95,29,164,23,145,67,20,11,197,30,86,57,67,191,10,280,188,131,310,472,13,33,604,174,73,5979,205,305,56,343,39,262,121,39,15,383,65,201,102,127,441,32,600,358,163,753
2021,6,228,9,27,348,71,35,2947,90,95,29,165,23,147,67,20,10,201,32,86,59,68,194,11,283,196,132,321,488,13,34,624,175,72,6089,207,308,57,344,39,267,122,39,14,388,68,202,108,128,446,34,604,374,166,768
2021,8,236,9,28,358,74,32,3044,95,104,30,176,22,153,69,20,11,204,31,84,64,70,194,18,288,216,133,325,502,13,36,642,172,67,6256,209,342,59,373,38,275,123,43,16,395,67,200,120,130,447,49,619,411,167,741
2021,9,236,9,28,360,74,32,3070,95,106,30,177,23,155,72,20,11,209,31,86,64,70,195,18,289,221,133,326,502,13,37,650,173,67,6319,212,349,59,381,38,278,127,42,16,406,66,203,121,131,447,49,621,417,167,747
2021,10,237,9,29,364,75,32,3109,99,111,30,178,25,155,73,20,11,211,31,89,65,71,198,19,295,221,133,328,504,13,39,656,175,67,6411,224,369,59,388,40,278,129,42,16,413,67,210,122,133,452,50,627,416,167,755
2021,11,241,9,30,365,76,32,3139,101,113,30,178,26,156,73,20,11,213,31,90,65,71,203,19,299,225,133,329,512,13,40,658,182,67,6480,229,377,59,389,41,279,130,42,17,418,67,212,122,133,460,50,633,426,167,757
2021,12,243,9,30,365,77,32,3162,103,116,30,180,26,157,75,20,12,215,32,92,62,71,203,19,303,225,133,332,518,13,40,658,191,67,6605,238,391,59,392,41,280,133,42,18,450,68,215,119,132,460,50,638,442,167,783
2022,1,264,9,29,374,89,42,3339,107,119,30,193,26,164,78,22,11,227,34,100,64,80,207,21,314,231,134,370,569,13,37,685,222,98,7148,247,387,59,412,42,291,148,48,16,497,71,241,124,153,469,58,665,468,170,958
2022,2,268,9,28,378,89,43,3358,107,120,30,198,27,165,78,22,11,229,31,101,64,81,208,22,315,231,134,369,575,13,35,694,222,101,7204,251,394,59,422,45,293,149,48,16,502,68,244,126,156,469,60,670,467,170,955
2022,3,271,9,28,375,90,43,3380,109,117,30,199,26,165,80,22,11,233,32,102,64,81,211,22,315,236,136,373,576,13,36,691,228,101,7256,253,392,59,424,44,302,151,48,16,512,71,245,128,156,476,60,670,475,173,956
2022,4,312,10,28,397,92,43,3569,120,117,31,206,26,179,80,25,12,234,34,108,69,88,223,28,318,242,147,400,610,16,38,730,236,103,7548,254,393,61,436,45,337,152,52,18,536,75,245,134,166,496,67,673,488,185,1002
2022,5,343,11,30,425,96,43,3783,132,117,32,212,27,192,82,28,13,249,35,118,75,95,235,33,322,247,161,430,645,19,42,778,244,104,7896,269,394,63,445,46,369,155,55,19,571,78,260,141,178,513,74,682,498,199,1055
2022,6,325,11,30,444,96,43,3868,135,118,32,215,27,194,91,28,13,285,36,118,79,97,236,34,328,250,168,439,657,19,42,811,244,104,8059,288,396,63,448,46,371,171,55,19,582,86,268,146,181,517,74,687,505,215,1066
2022,7,330,11,29,468,102,44,3988,135,119,34,221,30,209,95,30,16,287,33,120,82,100,247,36,334,257,164,455,663,19,40,857,252,113,8303,286,403,65,460,50,394,177,57,23,588,82,271,149,184,531,77,718,524,219,1102
2022,8,342,11,30,483,106,46,4094,136,121,36,220,30,220,97,29,17,303,35,124,83,104,248,36,346,258,167,466,681,19,42,886,261,119,8588,293,413,69,463,51,421,181,56,24,615,90,280,150,193,539,76,755,530,228,1151
2022,9,344,11,30,494,104,44,4106,137,125,39,222,29,224,96,30,17,305,36,124,83,100,252,34,348,257,167,454,678,19,42,902,259,108,8540,293,438,72,464,50,420,181,57,24,615,92,279,150,187,549,69,771,520,218,1086
2022,10,354,11,30,500,105,44,4167,137,127,39,226,29,230,97,36,18,313,38,122,85,102,255,33,352,261,172,452,685,19,42,913,261,106,8648,289,448,72,470,50,439,187,63,26,620,94,276,153,191,567,66,783,520,219,1090
2022,11,364,11,30,509,108,44,4260,137,129,39,230,29,232,97,40,22,321,38,123,88,106,258,34,357,276,179,459,705,19,43,946,266,107,8897,288,465,72,484,50,438,187,67,31,630,93,280,156,195,571,66,816,593,227,1103
2022,12,368,11,30,519,113,44,4356,139,132,39,243,30,235,96,40,24,336,39,124,89,112,260,34,362,287,180,469,710,19,43,954,276,106,9152,292,488,72,512,50,441,186,69,33,647,97,281,157,204,580,66,828,679,229,1130
2023,1,364,11,29,524,115,44,4368,143,133,39,247,30,244,91,40,25,341,40,122,90,113,258,35,351,287,184,469,691,19,42,951,280,107,9132,300,480,72,522,51,450,175,69,34,654,98,279,162,207,573,68,805,677,236,1130
2023,2,357,11,31,538,114,44,4446,144,136,38,249,30,249,94,40,26,353,40,121,91,112,271,42,357,300,184,475,655,19,46,963,277,106,9243,303,487,71,537,51,458,179,69,35,668,98,277,166,208,597,82,821,700,237,1136
2023,3,344,11,33,492,121,65,4423,138,137,33,244,34,238,101,28,21,312,39,126,87,107,264,40,376,305,226,503,727,18,46,903,299,169,9816,309,505,64,548,60,440,192,49,29,646,99,300,167,203,600,93,912,766,316,1356
2023,4,411,14,37,589,130,70,5050,153,150,39,277,35,292,108,41,30,391,46,131,104,130,287,51,402,334,218,581,823,24,52,1045,311,180,10768,332,552,74,607,61,539,206,64,40,751,108,301,191,238,639,114,943,801,286,1488
